Grapheme	IPA
ɣʷ	ɣʷ
ɣ̆	ɣ
ɣ̞	ɣ̞
ɣⁱ	ɣʲ
ɤ	ɤ
ɪ	ɪ
ɪ$	ɪ
ɪɪ	ɪː
ɪʰ$	ɪ ʰ/h
ɪ̆	ɪ̆
ɪ̥	ɪ̥
ɪ̥$	ɪ̥
ɫ$	lˠ
ɬ	ɬ
ɬ$	ɬ
ɯ	ɯ
ɰ	ɰ
ɰs	ɰ s
ɰʷ	ɰʷ
ɲ	ɲ
ɳ	ɳ
ɵ	ɵ
ɵ$	ɵ
ɵ͡l$	ɵ l
ɸ	ɸ
ɸ$	ɸ
ɸw	ɸʷ
ɸʷ	ɸʷ
ɸ̆	ɸ
ɹ	ɹ
ɺ	ɺ
ɺ$	ɺ
ɺw	ɺʷ
ɾ	ɾ
ɾ$	ɾ
ɾh	ɾʰ
ɾs	ɾ s
ɾw	ɾʷ
ʁ	ʁ
ʁ$	ʁ
ʃ	ʃ
ʃ$	ʃ
^ʃ_ʰovi	ʃʰ o v i
uʷa	u w a
t̚	t̚
vy	v y
ʉ	ʉ
ʉ$	ʉ
ʊ	ʊ
ʊ$	ʊ
ʊ̥$	ʊ̥
ʋ	ʋ
ʋʷ	ʋ
ʌ	ʌ
ʒ	ʒ
ʒ$	ʒ
ʔ	ʔ
ʔ$	ʔ
ʙ	ʙ
ʙ$	ʙ
ʙs	ʙ s
ʧ	tʃ
ʧ$	tʃ
β	β
β$	β
βh	βʰ
βs	β s
βs$	β s
βw	βʷ
βʲ	βʲ
βʷ	βʷ
β̆$	β
θ	θ
θ$	θ
χ	χ
χ$	χ
ᴘ	p
ᴩ	p
ᴩ$	p
ᵏpʷ	kpʷ
ᵐb	ⁿb
ᵐbs	ⁿb s
ᵐbʳ	ⁿbʳ
ᵐbʷ	ⁿbʷ
ᵐbⁿ$	ⁿb
ᵐd	ⁿd
ᵐm	ⁿm
ᵐp	ⁿp
ᵐt͡s	ⁿts
ᵐv	ⁿv
ᵐʙ	ⁿʙ
ᵐʙs	ⁿʙ s
ᵐβ	ⁿβ
ᵐᴩ	ⁿp
ᵑd	ⁿd
ᵑg	ⁿg
ᵑgs	ⁿg s
ᵑgw	ⁿgʷ
ᵑgʷ	ⁿgʷ
ᵑk	ⁿk
ᵑk$	ⁿk
ᵑɡ	ⁿg
ᵑɡʷ	ⁿgʷ
ẽ	ẽ
ẽ$	ẽ
ẽ:$	ẽː
ẽʲ$	ẽʲ/ẽi̯
’	NULL
ⁿ	ⁿ/n
ⁿd	ⁿd
ⁿd$	ⁿd
ⁿdʲ	ⁿdʲ
ⁿdʳ	ⁿdʳ
ⁿdʳ$	ⁿdʳ
ⁿg	ⁿg
ⁿgw	ⁿgʷ
ⁿm	ⁿm
ⁿt	ⁿt
ⁿt͡s	ⁿts
ⁿt͡ʃ	ⁿtʃ
ⁿɡ	ⁿg
ⁿʒ	ⁿʒ
ⁿʧ	ⁿtʃ
^aʰu	a h u
^aʰuː	a h uː
^aʷi	a w i
^by	b y
^e:	eː
^eː	eː
^i:	iː
^iya	i j a
^key	k ei̯
^k͡p	kp
^kᵚ	kʷ
^m̼	n̼
^ng̊	n g̊
^oloʰyliyli	o l o h y l i y l i
^oʰi	o h i
^oʰu	o h u
^oː	oː
^ñ	ɲ
^ŋg̊	ŋ g̊
^əʲa	ə j a
^ɾ̚	ɾ̚
^ʃ͏_ʰ	ʃʰ
^ʷi	w i
^ᵐj	ⁿj
^ᵐr	ⁿr
^ɪ:	ɪː
ayi	a j i
aʰu	a h u
aʰuʷa	a h u w a
aʷe	a w e
aʷi	a w i
aʷə	a w ə
byl	b y l
t_̚_	t
k_̚	k
p_̚	p
______	+
____	+
^naᵐ_batina	n a ⁿb a t i n a
^ne-βulʉ-	n e + β u l ʉ
d̚	d̚
eʰu	e h u
eʰy	e h y
eᵃj	ei̯
i:	iː
iʰu	i h u
iʲa	i j a
iʲe	i j e
iʷi	i w i
iᵐn	ĩ n
k͡p	kp
kᵚ	kʷ
l:	lː
m̚	m̚
m̼	n̼
m̼b̼	n̼ d̼
mᵚ	mʷ
ng̊o	n g̊ o
nʲ	nʲ
n᷈a	n a
oʰi	o h i
oʰu	o h u
o᷈ŋ	o ŋ
tyl	t y l
uʰe	u h e
uʷaʲe	u w a j e
uʷaː	u w aː
uʷe	u w e
ñ	ɲ
ø	ø
ŋg̊	ŋ g̊
æ:	æː
ɑ:j	ɑːi̯
ɔ:j	ɔːi̯
ŋg̥a	ŋ g̊ a
r:aru	rː a r u
ŋ͡mo	ŋ m o
ŋ͡be	ŋ b e
ŋ͡bo	ŋ b o
ŋ͡ba	ŋ b a
ŋ͡mw	ŋ mʷ
ɸ_̚	ɸ
ɐːj	ɐːi̯
ɑː	ɑː
ɒ	ɒ
ɒːj	ɒːi̯
ɔ̃	ɔ̃
əʰi	ə h i
əʲe	ə j e
əʷa	ə w a
ɛ:	ɛː
