ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source,Doubt
tolo1255-13_back-1,tolo1255-13_back-1,back-76,,,Greenhilletal2008,False
hano1246-13_back-1,hano1246-13_back-1,back-80,,,Greenhilletal2008,False
urip1239-13_back-1,urip1239-13_back-1,back-81,,,Greenhilletal2008,False
katb1237-13_back-1,katb1237-13_back-1,back-82,,,Greenhilletal2008,False
tutu1241-13_back-1,tutu1241-13_back-1,back-82,,,Greenhilletal2008,False
bign1238-13_back-1,bign1238-13_back-1,back-82,,,Greenhilletal2008,False
rere1240-13_back-1,rere1240-13_back-1,back-82,,,Greenhilletal2008,False
unua1237-13_back-1,unua1237-13_back-1,back-82,,,Greenhilletal2008,False
urip1239-13_back-1,urip1239-13_back-1,back-82,,,Greenhilletal2008,False
sout2859-165_badevil-1,sout2859-165_badevil-1,badevil-1,,,Greenhilletal2008,False
anei1239-165_badevil-1,anei1239-165_badevil-1,badevil-1,,,Greenhilletal2008,False
futu1245-165_badevil-1,futu1245-165_badevil-1,badevil-1,,,Greenhilletal2008,False
futu1245-165_badevil-2,futu1245-165_badevil-2,badevil-1,,,Greenhilletal2008,False
lena1238-165_badevil-1,lena1238-165_badevil-1,badevil-1,,,Greenhilletal2008,False
emae1237-165_badevil-1,emae1237-165_badevil-1,badevil-1,,,Greenhilletal2008,False
saka1289-165_badevil-1,saka1289-165_badevil-1,badevil-1,,,Greenhilletal2008,False
mele1250-165_badevil-1,mele1250-165_badevil-1,badevil-1,,,Greenhilletal2008,False
sout2856-165_badevil-1,sout2856-165_badevil-1,badevil-1,,,Greenhilletal2008,False
motl1237-165_badevil-1,motl1237-165_badevil-1,badevil-1,,,Greenhilletal2008,False
sout2857-165_badevil-1,sout2857-165_badevil-1,badevil-1,,,Greenhilletal2008,False
katb1237-165_badevil-1,katb1237-165_badevil-1,badevil-1,,,Greenhilletal2008,False
litz1237-165_badevil-1,litz1237-165_badevil-1,badevil-1,,,Greenhilletal2008,False
nese1235-165_badevil-1,nese1235-165_badevil-1,badevil-1,,,Greenhilletal2008,False
mara1399-165_badevil-1,mara1399-165_badevil-1,badevil-1,,,Greenhilletal2008,False
siee1239-165_badevil-1,siee1239-165_badevil-1,badevil-1,,,Greenhilletal2008,True
urav1235-165_badevil-1,urav1235-165_badevil-1,badevil-1,,,Greenhilletal2008,False
nama1268-165_badevil-1,nama1268-165_badevil-1,badevil-1,,,Greenhilletal2008,False
saaa1241-165_badevil-2,saaa1241-165_badevil-2,badevil-1,,,Greenhilletal2008,False
